Player Name,Matches Played,Runs Scored,Wickets Taken,Batting Average,Bowling Average,Strike Rate,Economy Rate,Team,Centuries,Half Centuries,Cathes,5 Wicket Hauls,Fours,Sixes,Run Out
KL Rahul,66,4210,7,26.43,25.01,110.56,9.35,Rangpur Riders,37,10,245,0,69,137,41
Steve Waugh,46,4977,20,35.13,31.45,131.93,7.52,Qatar Thunderbolts,13,15,283,0,146,61,2
Shikhar Dhawan,91,2631,147,55.73,24.66,67.18,7.78,Sri Lanka Legends,47,83,188,0,91,71,13
Jason Holder,39,1689,126,51.8,38.62,148.41,7.68,Trent Rockets,11,39,121,0,71,80,37
Shoaib Akhtar,99,3594,153,41.24,26.95,107.45,4.78,Namibia Eagles,43,44,78,0,131,147,31
Matthew Hayden,92,626,107,35.56,26.9,74.96,4.94,Hong Kong Legends,28,19,145,0,119,121,32
Ben Stokes,13,3453,117,51.91,20.37,84,9.95,St Kitts and Nevis Patriots,31,86,62,0,143,109,41
Aravinda de Silva,28,4787,187,23.22,31.33,107.49,7.28,Jamaica Tallawahs,21,25,173,0,68,28,17
Waqar Younis,29,2926,118,53.61,32.66,135.71,9.88,Papua New Guinea Barramundis,45,66,177,0,82,98,18
Shane Warne,28,1795,41,23.23,30.65,86.76,6.84,Jaffna Kings,32,51,158,7,50,61,52
Ross Taylor,48,4447,195,29.1,30.08,79.83,7.9,Melbourne Stars,19,32,97,0,79,72,13
Mitchell Starc,51,3459,182,20.35,23.93,70.84,4.21,Barbados Royals,43,46,254,8,72,137,4
Kane Williamson,24,4571,113,53.5,25.69,144.09,4.68,Kochi Tuskers Kerala,34,34,249,0,103,132,48
Darren Sammy,48,3316,64,26.01,37.19,103.6,7.44,Multan Sultans,23,10,175,0,114,40,30
Michael Clarke,36,4367,98,44.3,33.77,89.23,7.95,Rangpur Riders,47,14,233,0,126,118,29
Wasim Akram,97,1920,162,20.61,33.13,143.05,6.2,Bhutan Blizzards,32,49,187,0,117,69,12
Josh Hazlewood,88,4991,67,20.14,33.94,77.85,4.62,Antigua Hawksbills,7,84,138,0,112,111,41
Viv Richards,75,4028,19,41.35,36.26,113.56,6.94,Royal Challengers Bangalore,40,57,264,0,135,83,18
Alastair Cook,13,2007,9,42.55,30.04,93.18,6.13,England Legends,25,35,218,0,149,31,19
Steve Smith,13,1178,164,51.04,21.61,145.08,9.78,St Lucia Stars,15,40,55,0,119,148,40
Andre Russell,63,4136,39,31.75,31.32,124.27,5.73,USA Stars,19,79,111,0,92,91,54
Stuart Broad,64,1672,91,45.2,30.54,91.42,8.8,Barbados Tridents,45,57,293,0,70,46,28
Ricky Ponting,84,3546,128,31.5,28.03,112.62,4,India Legends,42,86,240,0,148,105,55
Roston Chase,64,4086,12,30.22,30.68,147.73,8.88,Rajshahi Royals,33,63,151,0,51,55,21
Mashrafe Mortaza,31,4445,39,24.09,27.06,125.82,9.07,Bhutan Blizzards,49,92,90,0,75,106,23
Zaheer Khan,99,3230,170,38.72,21.48,126.6,7.22,Netherlands Legends,49,48,207,0,150,116,7
Virat Kohli,57,12000,1,22.37,36.51,71.73,7.54,Canada Maple Leafs,29,82,280,0,69,49,3
Martin Guptill,69,788,113,24.64,39.05,147.55,6.22,Sylhet Thunder,45,27,66,0,131,140,55
Muttiah Muralitharan,82,1045,122,35.44,27.7,89.83,9.52,Islamabad United,42,73,115,0,142,24,42
Nathan Lyon,79,2840,60,41.97,28.1,126.07,6.02,Trent Rockets,28,27,221,0,86,140,46
Brendon McCullum,10,3553,186,57.69,35.13,61.49,9.23,Deccan Chargers,16,42,201,0,122,46,55
Rohit Sharma,56,1390,77,30.69,38.71,95.35,8.19,Kandy Warriors,46,15,287,0,138,11,18
Faf du Plessis,33,12000,24,46.03,28.79,77.52,5.14,Sri Lanka Legends,6,69,63,0,54,97,38
Chaminda Vaas,90,3965,172,23.82,24.25,107.15,8.74,Trinbago Knight Riders,46,10,261,0,111,57,25
Mahela Jayawardene,28,4654,96,42.09,25.54,113.55,7.44,Royal Challengers Bangalore,21,73,225,0,128,87,20
Lasith Malinga,50,3752,170,23.64,39,101.27,8.88,Manchester Originals,29,60,207,0,137,78,47
David Warner,44,4487,110,35.27,37.05,111.82,7.58,Scotland Saltires,13,26,166,0,98,120,49
Inzamam-ul-Haq,53,1033,10,46.34,20.86,103.34,6.41,Barbados Tridents,32,65,296,0,147,30,14
Sunil Gavaskar,49,2537,135,53.87,26.21,93.46,9.8,Delhi Daredevils,42,83,220,0,52,60,45
Ian Botham,37,4205,91,42.56,30.4,147.15,6.68,Nepal Rhinos,3,14,277,0,140,48,32
Shakib Al Hasan,86,755,6,51.8,39.64,69.32,6.61,USA Stars,8,24,156,0,129,32,45
Graeme Swann,19,3117,12,26.13,35.4,145.24,9.38,Melbourne Stars,15,38,180,0,83,90,17
Anil Kumble,31,4020,122,53.48,22.64,138.51,9.55,Rajasthan Royals,45,79,140,0,56,19,26
Shaun Pollock,61,4278,74,54.56,26.68,108.4,6.7,United Arab Emirates Falcons,34,39,297,0,126,36,55
Dwayne Bravo,60,4738,180,37.9,38.85,86.56,9.52,Northern Superchargers,35,15,146,0,68,49,19
Angelo Mathews,75,4467,98,45.66,29.82,141.78,5.23,Kings XI Punjab,28,15,272,0,70,72,19
Shaun Marsh,45,4364,63,41.52,39.71,73.53,9.05,Sydney Sixers,30,20,245,0,148,66,22
Andrew Symonds,28,2946,143,35,20.47,76.64,6.17,Peshawar Zalmi,8,14,75,0,133,117,47
Harbhajan Singh,93,2790,75,53.32,39.35,75.86,4.72,Bangladesh Legends,17,76,73,0,123,39,36
Upul Tharanga,83,2997,152,44.44,26.41,78.62,8.38,Jamaica Tallawahs,23,50,238,0,121,58,10
Marnus Labuschagne,86,2082,56,35.31,27.97,81.24,4.2,Antigua Hawksbills,27,38,218,0,133,88,55
Adam Gilchrist,57,4931,70,22,37.4,83.2,5.44,Jamaica Tallawahs,29,44,60,0,132,78,53
Shivnarine Chanderpaul,95,733,165,43.43,31.09,81.01,6.23,Melbourne Stars,47,71,115,0,145,122,38
Joe Root,34,2568,181,22.59,32.32,145.56,6.84,Scotland Saltires,47,24,183,0,104,29,11
Hashim Amla,63,3907,198,27.34,34.28,110.39,9.33,Sri Lanka Legends,33,36,234,0,108,57,47
Herschelle Gibbs,15,746,91,55.29,23.35,106.38,4.77,Guyana Amazon Warriors,37,12,261,0,128,78,23
Monty Panesar,20,2955,192,44.25,36.9,113.66,4.89,Southern Brave,27,45,123,0,114,149,55
Tamim Iqbal,30,3605,39,24.11,23.96,121.35,7.46,Northern Superchargers,7,75,248,0,110,58,30
Craig Brathwaite,98,2690,25,41.7,38.29,82.35,4.24,Peshawar Zalmi,16,68,113,0,141,105,43
Rishabh Pant,83,2364,138,28.56,21.8,107.83,4.8,Zimbabwe Chevrons,5,54,72,0,56,134,12
Pat Cummins,47,4979,192,45.98,30.79,143.63,9.44,Melbourne Stars,8,19,61,0,147,127,39
